id,date,start,stop,worked Time
90,2022-07-03,13:33:00,18:00:00,04:27:00
91,2022-07-03,16:55:00,18:00:00,01:05:00
92,2022-07-03,16:58:14,16:58:45,00:00:31
93,2022-07-04,10:51:00,18:00:00,07:09:00
94,2022-07-04,11:03:56,18:00:00,06:56:04
98,2022-07-05,15:10:04,15:11:12,00:01:08
99,2022-07-05,15:11:36,15:12:38,00:01:02
101,2022-07-05,19:54:39,19:55:04,00:00:25
102,2022-07-05,19:55:19,19:55:37,00:00:18
103,2022-07-05,21:21:53,21:22:04,00:00:11
104,2022-07-05,21:54:18,21:54:32,00:00:14
134,2022-07-08,09:27:00,18:27:00,09:00:00
135,2022-07-08,13:47:37,00:00:00,-13:47:37
136,2022-07-08,13:54:41,00:00:00,-13:54:41
137,2022-07-08,13:55:29,00:00:00,-13:55:29
138,2022-07-08,08:00:00,15:00:00,07:00:00
141,2022-07-19,01:00:00,08:00:00,07:00:00
142,2022-07-08,02:00:00,09:00:00,07:00:00
143,2022-07-08,14:02:43,14:03:08,00:00:25
144,2022-07-08,14:03:46,14:03:53,00:00:07
145,2022-07-08,14:04:00,18:00:00,03:56:00
146,2022-07-08,02:00:00,08:00:00,06:00:00
147,2022-07-08,01:00:00,05:00:00,04:00:00
